기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201804,서울특별시,외부방문자(b+c),4.5630539E7,0.0,0.0
201804,서울특별시,전체방문자(a+b+c),1.74711571E8,0.0,0.0
201804,부산광역시,현지인방문자(a),3.652376E7,0.0,0.0
201804,부산광역시,외지인방문자(b),1.0565821E7,0.0,0.0
201804,부산광역시,외국인방문자(c),318152.0,0.0,0.0
201804,부산광역시,외부방문자(b+c),1.0883973E7,0.0,0.0
201804,부산광역시,전체방문자(a+b+c),4.7407733E7,0.0,0.0
201804,대구광역시,현지인방문자(a),3.3539457E7,0.0,0.0
201804,대구광역시,외지인방문자(b),7839898.0,0.0,0.0
201804,대구광역시,외국인방문자(c),57565.0,0.0,0.0
201804,대구광역시,외부방문자(b+c),7897463.0,0.0,0.0
201804,대구광역시,전체방문자(a+b+c),4.143692E7,0.0,0.0
201804,인천광역시,현지인방문자(a),2.9539538E7,0.0,0.0
201804,인천광역시,외지인방문자(b),1.1211837E7,0.0,0.0
201804,인천광역시,외국인방문자(c),392642.0,0.0,0.0
201804,인천광역시,외부방문자(b+c),1.1604479E7,0.0,0.0
201804,인천광역시,전체방문자(a+b+c),4.1144017E7,0.0,0.0
201804,광주광역시,현지인방문자(a),2.0481318E7,0.0,0.0
201804,광주광역시,외지인방문자(b),4682349.0,0.0,0.0
201804,광주광역시,외국인방문자(c),21215.0,0.0,0.0
201804,광주광역시,외부방문자(b+c),4703564.0,0.0,0.0
201804,광주광역시,전체방문자(a+b+c),2.5184881E7,0.0,0.0
201804,대전광역시,현지인방문자(a),1.9789266E7,0.0,0.0
201804,대전광역시,외지인방문자(b),6223714.0,0.0,0.0
201804,대전광역시,외국인방문자(c),23835.0,0.0,0.0
201804,대전광역시,외부방문자(b+c),6247549.0,0.0,0.0
201804,대전광역시,전체방문자(a+b+c),2.6036815E7,0.0,0.0
201804,울산광역시,현지인방문자(a),1.384767E7,0.0,0.0
201804,울산광역시,외지인방문자(b),3415545.0,0.0,0.0
201804,울산광역시,외국인방문자(c),46613.0,0.0,0.0
201804,울산광역시,외부방문자(b+c),3462158.0,0.0,0.0
201804,울산광역시,전체방문자(a+b+c),1.7309827E7,0.0,0.0
201804,세종특별자치시,현지인방문자(a),2746062.0,0.0,0.0
201804,세종특별자치시,외지인방문자(b),1783075.0,0.0,0.0
201804,세종특별자치시,외국인방문자(c),5742.0,0.0,0.0
201804,세종특별자치시,외부방문자(b+c),1788817.0,0.0,0.0
201804,세종특별자치시,전체방문자(a+b+c),4534879.0,0.0,0.0
201804,경기도,현지인방문자(a),1.43987386E8,0.0,0.0
201804,경기도,외지인방문자(b),4.5062574E7,0.0,0.0
201804,경기도,외국인방문자(c),485914.0,0.0,0.0
201804,경기도,외부방문자(b+c),4.5548488E7,0.0,0.0
201804,경기도,전체방문자(a+b+c),1.89535873E8,0.0,0.0
201804,강원도,현지인방문자(a),2.3742618E7,0.0,0.0
201804,강원도,외지인방문자(b),8943512.0,0.0,0.0
201804,강원도,외국인방문자(c),84359.0,0.0,0.0
201804,강원도,외부방문자(b+c),9027871.0,0.0,0.0
201804,강원도,전체방문자(a+b+c),3.2770488E7,0.0,0.0
201804,충청북도,현지인방문자(a),2.0142602E7,0.0,0.0
201804,충청북도,외지인방문자(b),8020674.0,0.0,0.0
201804,충청북도,외국인방문자(c),36909.0,0.0,0.0
201804,충청북도,외부방문자(b+c),8057583.0,0.0,0.0
201804,충청북도,전체방문자(a+b+c),2.8200184E7,0.0,0.0
201804,충청남도,현지인방문자(a),2.5711256E7,0.0,0.0
201804,충청남도,외지인방문자(b),1.1783436E7,0.0,0.0
201804,충청남도,외국인방문자(c),71656.0,0.0,0.0
201804,충청남도,외부방문자(b+c),1.1855092E7,0.0,0.0
201804,충청남도,전체방문자(a+b+c),3.7566347E7,0.0,0.0
201804,전라북도,현지인방문자(a),2.4781582E7,0.0,0.0
201804,전라북도,외지인방문자(b),6767894.0,0.0,0.0
201804,전라북도,외국인방문자(c),43168.0,0.0,0.0
201804,전라북도,외부방문자(b+c),6811062.0,0.0,0.0
201804,전라북도,전체방문자(a+b+c),3.1592644E7,0.0,0.0
201804,전라남도,현지인방문자(a),2.216984E7,0.0,0.0
201804,전라남도,외지인방문자(b),9072438.0,0.0,0.0
201804,전라남도,외국인방문자(c),102664.0,0.0,0.0
201804,전라남도,외부방문자(b+c),9175102.0,0.0,0.0
201804,전라남도,전체방문자(a+b+c),3.1344942E7,0.0,0.0
201804,경상북도,현지인방문자(a),3.7150676E7,0.0,0.0
201804,경상북도,외지인방문자(b),1.2659311E7,0.0,0.0
201804,경상북도,외국인방문자(c),91990.0,0.0,0.0
201804,경상북도,외부방문자(b+c),1.2751301E7,0.0,0.0
201804,경상북도,전체방문자(a+b+c),4.9901977E7,0.0,0.0
201804,경상남도,현지인방문자(a),4.0774506E7,0.0,0.0
201804,경상남도,외지인방문자(b),1.1577503E7,0.0,0.0
201804,경상남도,외국인방문자(c),131418.0,0.0,0.0
201804,경상남도,외부방문자(b+c),1.1708921E7,0.0,0.0
201804,경상남도,전체방문자(a+b+c),5.2483427E7,0.0,0.0
201804,제주특별자치도,현지인방문자(a),1.3294778E7,0.0,0.0
201804,제주특별자치도,외지인방문자(b),4361262.0,0.0,0.0
201804,제주특별자치도,외국인방문자(c),307812.0,0.0,0.0
201804,제주특별자치도,외부방문자(b+c),4669075.0,0.0,0.0
201804,제주특별자치도,전체방문자(a+b+c),1.7963853E7,0.0,0.0
201805,서울특별시,현지인방문자(a),1.40823672E8,0.0,0.0
201805,서울특별시,외지인방문자(b),4.8047528E7,0.0,0.0
201805,서울특별시,외국인방문자(c),1446624.0,0.0,0.0
201805,서울특별시,외부방문자(b+c),4.9494152E7,0.0,0.0
201805,서울특별시,전체방문자(a+b+c),1.90317824E8,0.0,0.0
201805,부산광역시,현지인방문자(a),4.0974566E7,0.0,0.0
201805,부산광역시,외지인방문자(b),1.2189331E7,0.0,0.0
201805,부산광역시,외국인방문자(c),317102.0,0.0,0.0
201805,부산광역시,외부방문자(b+c),1.2506433E7,0.0,0.0
201805,부산광역시,전체방문자(a+b+c),5.3480999E7,0.0,0.0
201805,대구광역시,현지인방문자(a),3.6363544E7,0.0,0.0
201805,대구광역시,외지인방문자(b),8945594.0,0.0,0.0
201805,대구광역시,외국인방문자(c),49261.0,0.0,0.0
201805,대구광역시,외부방문자(b+c),8994855.0,0.0,0.0
201805,대구광역시,전체방문자(a+b+c),4.5358399E7,0.0,0.0
201805,인천광역시,현지인방문자(a),3.337936E7,0.0,0.0
201805,인천광역시,외지인방문자(b),1.298828E7,0.0,0.0
201805,인천광역시,외국인방문자(c),390702.0,0.0,0.0
201805,인천광역시,외부방문자(b+c),1.3378981E7,0.0,0.0
201805,인천광역시,전체방문자(a+b+c),4.6758341E7,0.0,0.0
201805,광주광역시,현지인방문자(a),2.2420724E7,0.0,0.0
201805,광주광역시,외지인방문자(b),5297274.0,0.0,0.0
201805,광주광역시,외국인방문자(c),23750.0,0.0,0.0
